Isolate	incI1.cgMLST99	Serovar	Prov	Region	Year_Collected	Source	SourceLoc	Cluster
SA20140772	Group1	S.Heidelberg	ON	ON	2013	Chicken	Retail	.
SA20135336	Group1	S.Heidelberg	ON	ON	2013	Chicken	Retail	105
SA20141327	Group1	S.Heidelberg	ON	ON	2013	Chicken	Retail	112
SA20131717	Group1	S.Heidelberg	ON	ON	2013	Chicken	Retail	.
SA20132928	Group1	S.Heidelberg	ON	ON	2013	Chicken	Retail	.
SA20131505	Group1	S.Heidelberg	ON	ON	2013	Chicken	Retail	99
SA20142019	Group1	S.Heidelberg	ON	ON	2013	Chicken	Retail	140
SA20132091	Group1	S.Heidelberg	ON	ON	2013	Chicken	Retail	61
SA20132092	Group1	S.Heidelberg	ON	ON	2013	Chicken	Retail	60
SA20141100	Group1	S.Heidelberg	ON	ON	2013	Chicken	Retail	.
SA20141101	Group1	S.Heidelberg	ON	ON	2013	Chicken	Retail	.
SA20132682	Group1	S.Heidelberg	ON	ON	2013	Chicken	Retail	73
SA20132685	Group1	S.Heidelberg	ON	ON	2013	Chicken	Retail	53
SA20142977	Group1	S.Heidelberg	ON	ON	2013	Chicken	Retail	165
SA20135110	Group1	S.Heidelberg	ON	ON	2013	Chicken	Retail	9
SA20133258	Group1	S.Heidelberg	ON	ON	2013	Chicken	Retail	.
SA20143098	Group1	S.Kentucky	ON	ON	2013	Chicken	Retail	.
SA20133257	Group1	S.Heidelberg	ON	ON	2013	Chicken	Retail	89
SA20143565	Group1	S.Kentucky	ON	ON	2014	Chicken	Retail	.
SA20143568	Group1	S.Kentucky	ON	ON	2014	Chicken	Retail	.
SA20145863	Group1	S.Heidelberg	ON	ON	2014	Chicken	Retail	.
SA20140032	Group1	S.Heidelberg	ON	ON	2014	Chicken	Retail	25
SA20140012	Group1	S.Heidelberg	ON	ON	2014	Chicken	Retail	24
SA20140030	Group1	S.Heidelberg	ON	ON	2014	Chicken	Retail	24
SA20146570	Group1	S.Heidelberg	ON	ON	2014	Chicken	Retail	236
SA20140272	Group1	S.Heidelberg	ON	ON	2015	Chicken	Retail	8
SA20142177	Group1	S.Heidelberg	ON	ON	2015	Chicken	Retail	.
SA20142886	Group1	S.Kentucky	ON	ON	2015	Chicken	Retail	.
SA20142302	Group1	S.Heidelberg	ON	ON	2015	Chicken	Retail	.
SA20142537	Group1	S.Heidelberg	ON	ON	2015	Chicken	Retail	.
SA20113986	Group1	S.Heidelberg	PEI	ATL	2011	Chicken	Retail	.
SA20034423	Group1	S.Heidelberg	QC	QC	2003	Chicken	Retail	.
SA20034424	Group1	S.Heidelberg	QC	QC	2003	Chicken	Retail	.
SA20034432	Group1	S.Heidelberg	QC	QC	2003	Chicken	Retail	.
SA20034433	Group1	S.Heidelberg	QC	QC	2003	Chicken	Retail	.
SA20034437	Group1	S.Heidelberg	QC	QC	2003	Chicken	Retail	.
SA20034439	Group1	S.Kentucky	QC	QC	2003	Chicken	Retail	.
SA20034971	Group1	S.Heidelberg	QC	QC	2003	Chicken	Retail	.
SA20034974	Group1	S.Heidelberg	QC	QC	2003	Chicken	Retail	.
SA20034975	Group1	S.Heidelberg	QC	QC	2003	Chicken	Retail	.
SA20034977	Group1	S.Heidelberg	QC	QC	2003	Chicken	Retail	.
SA20040400	Group1	S.Heidelberg	QC	QC	2003	Chicken	Retail	.
SA20041003	Group1	S.Heidelberg	QC	QC	2004	Chicken	Retail	.
SA20043796	Group1	S.Heidelberg	QC	QC	2004	Chicken	Retail	.
SA20043795	Group1	S.Heidelberg	QC	QC	2004	Chicken	Retail	.
SA20043794	Group1	S.Kentucky	QC	QC	2004	Chicken	Retail	.
SA20043799	Group1	S.Heidelberg	QC	QC	2004	Chicken	Retail	.
SA20043810	Group1	S.Heidelberg	QC	QC	2004	Chicken	Retail	.
SA20050326	Group1	S.Heidelberg	QC	QC	2004	Chicken	Retail	.
SA20050341	Group1	S.Heidelberg	QC	QC	2004	Chicken	Retail	.
SA20050470	Group1	S.Heidelberg	QC	QC	2004	Chicken	Retail	.
SA20050476	Group1	S.Heidelberg	QC	QC	2004	Chicken	Retail	.
SA20054992	Group1	S.Heidelberg	QC	QC	2005	Chicken	Retail	.
SA20055000	Group1	S.Heidelberg	QC	QC	2005	Chicken	Retail	.
SA20053625	Group1	S.Heidelberg	QC	QC	2005	Chicken	Retail	.
SA20061115	Group1	S.Heidelberg	QC	QC	2005	Chicken	Retail	.
SA20065315	Group1	S.Heidelberg	QC	QC	2006	Chicken	Retail	.
SA20071987	Group1	S.Heidelberg	QC	QC	2007	Chicken	Retail	.
SA20072063	Group1	S.Kentucky	QC	QC	2007	Chicken	Retail	.
SA20080322	Group1	S.Heidelberg	QC	QC	2007	Chicken	Retail	.
SA20081593	Group1	S.Heidelberg	QC	QC	2008	Chicken	Retail	.
SA20081607	Group1	S.Heidelberg	QC	QC	2008	Chicken	Retail	.
SA20085261	Group1	S.Heidelberg	QC	QC	2008	Chicken	Retail	.
SA20090191	Group1	S.Heidelberg	QC	QC	2008	Chicken	Retail	.
SA20090675	Group1	S.Heidelberg	QC	QC	2009	Chicken	Retail	.
SA20090879	Group1	S.Heidelberg	QC	QC	2009	Chicken	Retail	.
SA20091719	Group1	S.Heidelberg	QC	QC	2009	Chicken	Retail	.
SA20091717	Group1	S.Heidelberg	QC	QC	2009	Chicken	Retail	.
SA20091716	Group1	S.Heidelberg	QC	QC	2009	Chicken	Retail	.
SA20091731	Group1	S.Heidelberg	QC	QC	2009	Chicken	Retail	.
SA20092303	Group1	S.Heidelberg	QC	QC	2009	Chicken	Retail	.
SA20100424	Group1	S.Heidelberg	QC	QC	2009	Chicken	Retail	.
SA20102381	Group1	S.Heidelberg	QC	QC	2010	Chicken	Retail	.
SA20103782	Group1	S.Heidelberg	QC	QC	2010	Chicken	Retail	.
SA20104570	Group1	S.Heidelberg	QC	QC	2010	Chicken	Retail	.
SA20104612	Group1	S.Heidelberg	QC	QC	2010	Chicken	Retail	.
SA20110036	Group1	S.Heidelberg	QC	QC	2010	Chicken	Retail	.
SA20111560	Group1	S.Heidelberg	QC	QC	2011	Chicken	Retail	.
SA20112112	Group1	S.Heidelberg	QC	QC	2011	Chicken	Retail	.
SA20112252	Group1	S.Heidelberg	QC	QC	2011	Chicken	Retail	.
SA20115775	Group1	S.Heidelberg	QC	QC	2011	Chicken	Retail	.
SA20116361	Group1	S.Heidelberg	QC	QC	2011	Chicken	Retail	.
SA20121161	Group1	S.Heidelberg	QC	QC	2012	Chicken	Retail	.
SA20121344	Group1	S.Heidelberg	QC	QC	2012	Chicken	Retail	.
SA20121610	Group1	S.Heidelberg	QC	QC	2012	Chicken	Retail	.
SA20122239	Group1	S.Heidelberg	QC	QC	2012	Chicken	Retail	.
SA20122617	Group1	S.Heidelberg	QC	QC	2012	Chicken	Retail	.
SA20122618	Group1	S.Heidelberg	QC	QC	2012	Chicken	Retail	.
SA20122900	Group1	S.Heidelberg	QC	QC	2012	Chicken	Retail	.
SA20123897	Group1	S.Heidelberg	QC	QC	2012	Chicken	Retail	.
SA20124658	Group1	S.Heidelberg	QC	QC	2012	Chicken	Retail	.
SA20125685	Group1	S.Heidelberg	QC	QC	2012	Chicken	Retail	.
SA20125715	Group1	S.Heidelberg	QC	QC	2012	Chicken	Retail	.
SA20126008	Group1	S.Heidelberg	QC	QC	2012	Chicken	Retail	.
SA20130476	Group1	S.Heidelberg	QC	QC	2012	Chicken	Retail	.
SA20131612	Group1	S.Heidelberg	QC	QC	2013	Chicken	Retail	.
SA20153965	Group1	S.Heidelberg	QC	QC	2013	Chicken	Retail	.
SA20142435	Group1	S.Heidelberg	QC	QC	2013	Chicken	Retail	.
SA20141335	Group1	S.Heidelberg	QC	QC	2013	Chicken	Retail	.
SA20142056	Group1	S.Heidelberg	QC	QC	2013	Chicken	Retail	.
SA20142071	Group1	S.Heidelberg	QC	QC	2013	Chicken	Retail	.
SA20142288	Group1	S.Heidelberg	QC	QC	2013	Chicken	Retail	.
SA20145098	Group1	S.Heidelberg	QC	QC	2013	Chicken	Retail	.
SA20150560	Group1	S.Kentucky	QC	QC	2013	Chicken	Retail	.
SA20142961	Group1	S.Kentucky	QC	QC	2013	Chicken	Retail	.
SA20153963	Group1	S.Heidelberg	QC	QC	2013	Chicken	Retail	.
SA20154673	Group1	S.Heidelberg	QC	QC	2013	Chicken	Retail	.
SA20142881	Group1	S.Heidelberg	QC	QC	2014	Chicken	Retail	.
SA20143151	Group1	S.Heidelberg	QC	QC	2014	Chicken	Retail	.
SA20143179	Group1	S.Heidelberg	QC	QC	2014	Chicken	Retail	.
SA20140230	Group1	S.Heidelberg	QC	QC	2014	Chicken	Retail	.
SA20140625	Group1	S.Heidelberg	QC	QC	2014	Chicken	Retail	.
SA20140622	Group1	S.Heidelberg	QC	QC	2014	Chicken	Retail	.
SA20140978	Group1	S.Heidelberg	QC	QC	2015	Chicken	Retail	.
SA20142066	Group1	S.Heidelberg	QC	QC	2015	Chicken	Retail	.
SA20142069	Group1	S.Heidelberg	QC	QC	2015	Chicken	Retail	.
SA20142183	Group1	S.Kentucky	QC	QC	2015	Chicken	Retail	.
SA20142553	Group1	S.Heidelberg	QC	QC	2015	Chicken	Retail	.
SA20143045	Group1	S.Heidelberg	QC	QC	2015	Chicken	Retail	.
SA20142365	Group1	S.Heidelberg	QC	QC	2015	Chicken	Retail	.
SA20064797	Group1	S.Heidelberg	SK	PRA	2006	Chicken	Retail	.
SA20084895	Group1	S.Heidelberg	SK	PRA	2008	Chicken	Retail	.
SA20121806	Group1	S.Heidelberg	SK	PRA	2012	Chicken	Retail	.
SA20124827	Group1	S.Heidelberg	SK	PRA	2012	Chicken	Retail	.
SA20124828	Group1	S.Heidelberg	SK	PRA	2012	Chicken	Retail	.
SA20132693	Group1	S.Kentucky	SK	PRA	2013	Chicken	Retail	.
SA20134862	Group1	S.Heidelberg	SK	PRA	2013	Chicken	Retail	.
SA20135248	Group1	S.Heidelberg	SK	PRA	2014	Chicken	Retail	.
SA20141089	Group1	S.Heidelberg	SK	PRA	2015	Chicken	Retail	.
